4   4  1 17.0 0.7071068 -1.2247449  1.5811388 -1.87082869  2.12132034
4  38  2 18.6 0.7071068 -0.9525793  0.6441677 -0.01796406 -0.62045629
4  72  3 24.0 0.7071068 -0.6804138 -0.0585607  0.75705688 -0.77565120
4 106  4 20.0 0.7071068 -0.4082483 -0.5270463  0.76218947  0.02618914
4 140  5 20.0 0.7071068 -0.1360828 -0.7612891  0.30538905  0.69870039
4 174  6 15.6 0.7071068  0.1360828 -0.7612891 -0.30538905  0.69870039
4 208  7 16.0 0.7071068  0.4082483 -0.5270463 -0.76218947  0.02618914
4 242  8 13.0 0.7071068  0.6804138 -0.0585607 -0.75705688 -0.77565120
4 276  9  8.2 0.7071068  0.9525793  0.6441677  0.01796406 -0.62045629
4 310  0  8.0 0.7071068  1.2247449  1.5811388  1.87082869  2.12132034
5   4  1 23.0 0.7071068 -1.2247449  1.5811388 -1.87082869  2.12132034
5  38  2 21.0 0.7071068 -0.9525793  0.6441677 -0.01796406 -0.62045629
5  72  3 18.0 0.7071068 -0.6804138 -0.0585607  0.75705688 -0.77565120
5 106  4 17.0 0.7071068 -0.4082483 -0.5270463  0.76218947  0.02618914
5 140  5 16.2 0.7071068 -0.1360828 -0.7612891  0.30538905  0.69870039
5 174  6 14.0 0.7071068  0.1360828 -0.7612891 -0.30538905  0.69870039
5 208  7 14.2 0.7071068  0.4082483 -0.5270463 -0.76218947  0.02618914
5 242  8 13.4 0.7071068  0.6804138 -0.0585607 -0.75705688 -0.77565120
5 276  9 11.8 0.7071068  0.9525793  0.6441677  0.01796406 -0.62045629
5 310  0 11.4 0.7071068  1.2247449  1.5811388  1.87082869  2.12132034
6   4  6 10.4 0.7071068 -1.2247449  1.5811388 -1.87082869  2.12132034
6  38  7 12.3 0.7071068 -0.9525793  0.6441677 -0.01796406 -0.62045629
6  72  8 13.2 0.7071068 -0.6804138 -0.0585607  0.75705688 -0.77565120
6 106  9 11.6 0.7071068 -0.4082483 -0.5270463  0.76218947  0.02618914
6 140  0  8.4 0.7071068 -0.1360828 -0.7612891  0.30538905  0.69870039
7   4  4 22.8 0.7071068 -1.2247449  1.5811388 -1.87082869  2.12132034
7  38  5 22.4 0.7071068 -0.9525793  0.6441677 -0.01796406 -0.62045629
7  72  6 21.4 0.7071068 -0.6804138 -0.0585607  0.75705688 -0.77565120
7 106  7 18.8 0.7071068 -0.4082483 -0.5270463  0.76218947  0.02618914
7 140  8 18.3 0.7071068 -0.1360828 -0.7612891  0.30538905  0.69870039
7 174  9 16.2 0.7071068  0.1360828 -0.7612891 -0.30538905  0.69870039
7 208  0 15.0 0.7071068  0.4082483 -0.5270463 -0.76218947  0.02618914
8   4  1 22.2 0.7071068 -1.2247449  1.5811388 -1.87082869  2.12132034
8  38  2 20.0 0.7071068 -0.9525793  0.6441677 -0.01796406 -0.62045629
8  72  3 21.0 0.7071068 -0.6804138 -0.0585607  0.75705688 -0.77565120
8 106  4 23.0 0.7071068 -0.4082483 -0.5270463  0.76218947  0.02618914
8 140  5 16.8 0.7071068 -0.1360828 -0.7612891  0.30538905  0.69870039
8 174  6 11.0 0.7071068  0.1360828 -0.7612891 -0.30538905  0.69870039
8 208  7 13.0 0.7071068  0.4082483 -0.5270463 -0.76218947  0.02618914
8 242  8 17.0 0.7071068  0.6804138 -0.0585607 -0.75705688 -0.77565120
8 276  9 13.0 0.7071068  0.9525793  0.6441677  0.01796406 -0.62045629
8 310  0 12.6 0.7071068  1.2247449  1.5811388  1.87082869  2.12132034
