1 1 1 1 41.0 1
1 1 1 1 37.5 1
1 1 1 0 41.5 1
1 1 0 0 40.0 1
1 1 0 0 43.0 1
1 1 0 0 42.0 1
1 1 0 0 35.0 1
2 1 1 0 46.0 1
2 1 1 0 40.5 1
2 1 0 0 39.0 1
1 2 1 1 41.4 1
1 2 1 1 43.0 2
1 2 0 0 34.0 1
1 2 0 1 47.0 2
1 2 0 1 42.0 1
2 2 0 1 44.5 1
2 2 0 1 49.0 1
1 3 1 1 41.6 1
2 3 1 1 36.0 1
2 3 1 0 42.7 1
2 3 0 0 32.5 1
2 3 0 0 44.4 1
2 3 0 1 46.0 1
1 4 0 1 47.0 2
1 4 0 0 51.0 2
1 4 0 0 39.0 1
2 4 1 1 44.5 1
1 5 1 1 40.5 1
1 5 1 0 43.5 1
1 5 0 1 42.5 1
1 5 0 1 48.8 2
1 5 0 1 38.5 1
1 5 0 1 52.0 1
1 5 0 0 48.0 1
2 5 1 0 41.0 1
2 5 1 1 50.5 2
2 5 0 1 43.7 2
2 5 0 1 51.0 2
1 6 1 0 51.6 2
1 6 1 1 45.3 2
1 6 1 0 36.5 1
1 6 0 1 50.5 1
1 6 0 1 46.0 2
1 6 0 1 45.0 1
1 6 0 0 36.0 1
2 6 1 0 43.5 1
2 6 1 0 36.5 1
